idcode,age,race,married,never_married,grade,collgrad,south,smsa,c_city,industry,occupation,union,wage,hours,Total_wages,ttl_exp,tenure
4437,41,White,Married,Has been married,12,Not college grad,South,Not SMSA,Not central city,Professional services,Sales,,5.23,40,209,16,0.83
4438,42,White,Married,Has been married,12,Not college grad,South,Not SMSA,Not central city,Manufacturing,Operatives,Nonunion,2.78,40,111,11,0
4439,42,White,Married,Has been married,12,Not college grad,South,Not SMSA,Not central city,Manufacturing,Operatives,Union,17.62,8,141,9,0
4441,42,Black,Married,Has been married,6,Not college grad,South,Not SMSA,Not central city,Ag/Forestry/Fisheries,Farm laborers,Union,3.45,35,121,6,1.08
4442,40,Black,Married,Has been married,7,Not college grad,South,Not SMSA,Not central city,,Farm laborers,Nonunion,3.04,40,122,8,1.25
4443,39,Black,Married,Has been married,9,Not college grad,South,Not SMSA,Not central city,,Farm laborers,Nonunion,3.02,40,121,6,1
4445,35,Black,Single,Has been married,8,Not college grad,South,Not SMSA,Not central city,Ag/Forestry/Fisheries,Farm laborers,Nonunion,2.7,40,108,4,1.08
4446,43,White,Married,Has been married,12,Not college grad,South,Not SMSA,Not central city,Professional services,Professional/Technical,Nonunion,1.39,80,111,12,1.58
4450,38,Black,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Wholesale/Retail trade,Managers/Admin,Union,7.41,35,259,16,13.25
4454,39,White,Married,Has been married,12,Not college grad,South,Not SMSA,Not central city,Professional services,Laborers,Nonunion,2.93,35,103,8,0.5
4458,44,Black,Married,Has been married,7,Not college grad,South,Not SMSA,Not central city,Manufacturing,Operatives,Nonunion,4.03,34,137,18,15.83
4460,36,Black,Single,Never married,12,Not college grad,Not south,SMSA,Central city,Professional services,Laborers,Nonunion,4.53,40,181,14,5.75
4461,35,Black,Single,Never married,12,Not college grad,Not south,SMSA,Central city,Personal services,Operatives,,5.78,40,231,3,0.83
4462,39,Black,Single,Never married,12,Not college grad,South,Not SMSA,Not central city,Professional services,Laborers,Nonunion,3.09,38,117,15,2.92
4464,34,Black,Married,Has been married,13,Not college grad,South,SMSA,Not central city,Manufacturing,Clerical/Unskilled,,7.65,20,153,8,0.5
4465,43,Black,Single,Has been married,7,Not college grad,South,Not SMSA,Not central city,Personal services,Transport,Nonunion,2.7,40,108,23,1.42
4466,44,Black,Single,Has been married,12,Not college grad,South,Not SMSA,Not central city,Personal services,Transport,,1.8,40,72,15,1.25
4470,37,Black,Married,Has been married,12,Not college grad,South,Not SMSA,Not central city,Personal services,Laborers,Nonunion,2.82,60,169,12,1.92
4473,43,White,Single,Has been married,14,Not college grad,South,Not SMSA,Not central city,Manufacturing,Clerical/Unskilled,Nonunion,6.27,40,251,12,4.83
4474,34,Black,Married,Has been married,15,Not college grad,South,SMSA,Central city,Professional services,Sales,Nonunion,4.03,40,161,10,0.08
4478,39,White,Married,Has been married,17,College grad,South,SMSA,Not central city,Professional services,Other,Nonunion,7.48,60,449,18,9.83
4480,39,White,Single,Has been married,11,Not college grad,South,Not SMSA,Not central city,Wholesale/Retail trade,Managers/Admin,Nonunion,3.31,62,205,6,2.25
4481,38,White,Married,Has been married,7,Not college grad,South,Not SMSA,Not central city,Wholesale/Retail trade,Operatives,Nonunion,2.05,60,123,3,0.08
4484,37,Black,Single,Has been married,14,Not college grad,Not south,SMSA,Central city,Wholesale/Retail trade,Laborers,,4.03,15,60,13,0.42
4485,35,Black,Married,Has been married,13,Not college grad,Not south,SMSA,Not central city,Manufacturing,Craftsmen,Union,12.23,52,636,13,5.08
4488,37,White,Single,Has been married,12,Not college grad,South,Not SMSA,Not central city,Wholesale/Retail trade,Operatives,Nonunion,6.84,40,274,15,9.33
4490,43,White,Single,Has been married,15,Not college grad,Not south,SMSA,Central city,Finance/Ins/Real estate,Clerical/Unskilled,Nonunion,25.16,40,1006,22,21.75
4492,41,White,Married,Has been married,12,Not college grad,South,Not SMSA,Not central city,Professional services,Sales,Nonunion,4.03,40,161,9,1.67
4494,35,White,Married,Has been married,12,Not college grad,South,Not SMSA,Not central city,Manufacturing,Operatives,Nonunion,6.09,40,243,11,3.25
4501,40,White,Single,Has been married,12,Not college grad,Not south,SMSA,Not central city,Wholesale/Retail trade,Sales,Nonunion,4.34,60,260,16,1.92
4502,44,White,Married,Has been married,13,Not college grad,South,SMSA,Not central city,Construction,Clerical/Unskilled,,5.03,40,201,6,4
4508,35,Black,Married,Has been married,12,Not college grad,South,SMSA,Not central city,Wholesale/Retail trade,Sales,Nonunion,3.22,30,97,6,0.83
4510,34,White,Single,Has been married,12,Not college grad,South,SMSA,Not central city,Transport/Comm/Utility,Sales,Union,14.52,40,581,12,9.42
4512,43,White,Married,Has been married,10,Not college grad,South,Not SMSA,Not central city,Wholesale/Retail trade,Operatives,Nonunion,2.7,60,162,5,1.67
4513,39,Black,Single,Never married,13,Not college grad,South,Not SMSA,Not central city,Wholesale/Retail trade,Laborers,Nonunion,3.36,30,101,17,1.83
4518,40,Black,Single,Has been married,14,Not college grad,South,Not SMSA,Not central city,Professional services,Managers/Admin,Nonunion,6.35,38,241,16,13.25
4519,40,White,Married,Has been married,12,Not college grad,South,SMSA,Central city,Professional services,Sales,,7.65,40,306,12,7.25
4520,39,White,Married,Has been married,6,Not college grad,South,Not SMSA,Not central city,Business/Repair svc,Service,Nonunion,6.04,40,242,12,8.5
4527,35,Black,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Professional services,Laborers,Nonunion,2.9,40,116,6,1.83
4530,37,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Business/Repair svc,Managers/Admin,Nonunion,9.29,50,465,12,8.42
4531,37,White,Married,Has been married,12,Not college grad,South,Not SMSA,Not central city,Wholesale/Retail trade,Sales,,2.8,36,101,7,1.33
4532,40,Black,Married,Has been married,12,Not college grad,South,SMSA,Not central city,Personal services,Operatives,Nonunion,5.54,40,222,16,0.08
4533,42,Black,Single,Has been married,12,Not college grad,South,SMSA,Not central city,Manufacturing,Operatives,Nonunion,7.75,40,310,18,8.42
4536,43,White,Married,Has been married,17,College grad,South,Not SMSA,Not central city,Professional services,Other,Nonunion,9.81,45,441,18,13.58
4538,39,Black,Married,Has been married,9,Not college grad,Not south,SMSA,Not central city,Professional services,Laborers,Nonunion,3.99,40,159,4,2.83
4539,43,Other,Married,Has been married,0,Not college grad,South,Not SMSA,Not central city,Professional services,Laborers,Nonunion,2.93,40,117,5,0.92
4541,40,White,Married,Has been married,13,Not college grad,Not south,SMSA,Not central city,Finance/Ins/Real estate,Sales,Nonunion,6.51,60,390,12,0.25
4542,39,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Finance/Ins/Real estate,Managers/Admin,,4.83,40,193,15,2.75
4543,37,White,Single,Has been married,12,Not college grad,Not south,SMSA,Not central city,Finance/Ins/Real estate,Managers/Admin,Nonunion,13.55,40,542,14,1.17
4544,38,White,Married,Has been married,16,College grad,Not south,Not SMSA,Not central city,Wholesale/Retail trade,Clerical/Unskilled,,2.72,60,163,7,0.08
4545,36,Black,Single,Has been married,11,Not college grad,Not south,SMSA,Not central city,Manufacturing,Sales,,8.71,40,348,16,2.33
4546,44,Black,Married,Has been married,11,Not college grad,South,SMSA,Not central city,Manufacturing,Craftsmen,Nonunion,5.8,40,232,15,6.08
4547,39,Black,Single,Has been married,11,Not college grad,Not south,SMSA,Not central city,Manufacturing,Operatives,Nonunion,6.04,40,242,15,1.08
4548,35,Black,Married,Has been married,9,Not college grad,South,SMSA,Central city,Construction,Sales,Nonunion,2.8,40,112,10,5.83
4549,41,White,Married,Has been married,15,Not college grad,South,Not SMSA,Not central city,Professional services,Laborers,Nonunion,11.11,40,444,16,0.75
4550,44,White,Married,Has been married,10,Not college grad,South,Not SMSA,Not central city,Public administration,Sales,Nonunion,2.98,23,69,2,0.25
4551,45,White,Single,Never married,18,College grad,South,SMSA,Not central city,Professional services,Other,Union,15.1,40,604,20,3.42
4553,44,White,Married,Has been married,12,Not college grad,South,Not SMSA,Not central city,Public administration,Sales,Nonunion,4.63,40,185,15,1.83
4555,34,White,Married,Has been married,17,College grad,South,SMSA,Central city,Wholesale/Retail trade,Professional/Technical,Nonunion,14.13,40,565,12,2.83
4556,41,White,Married,Has been married,12,Not college grad,South,Not SMSA,Not central city,Public administration,Sales,Nonunion,8.71,38,331,19,17.17
4562,43,White,Married,Has been married,13,Not college grad,South,Not SMSA,Not central city,Personal services,Transport,Nonunion,4.03,10,40,11,5.33
4564,39,White,Single,Never married,12,Not college grad,South,SMSA,Not central city,Manufacturing,Laborers,,3.34,40,134,15,1.75
4567,40,White,Married,Has been married,11,Not college grad,South,Not SMSA,Not central city,Manufacturing,Craftsmen,Nonunion,6.51,50,325,12,5.83
4569,42,White,Married,Has been married,12,Not college grad,South,Not SMSA,Not central city,Wholesale/Retail trade,Sales,Nonunion,5.12,38,195,12,10.42
4571,38,Black,Single,Has been married,18,College grad,South,Not SMSA,Not central city,Public administration,Other,Nonunion,11.61,40,464,15,13.92
4573,41,Black,Married,Has been married,13,Not college grad,South,Not SMSA,Not central city,Professional services,Laborers,Union,6.03,40,241,19,18.75
4574,37,White,Single,Has been married,12,Not college grad,South,Not SMSA,Not central city,Manufacturing,Operatives,Nonunion,6.22,40,249,15,9.92
4577,39,White,Married,Has been married,9,Not college grad,South,Not SMSA,Not central city,Manufacturing,Operatives,Nonunion,5.03,40,201,8,5
4578,41,White,Married,Has been married,16,College grad,South,Not SMSA,Not central city,Professional services,Other,,3.87,24,93,10,1.5
4580,38,White,Single,Has been married,12,Not college grad,South,Not SMSA,Not central city,Professional services,Laborers,,3.9,38,148,14,7.08
4583,44,White,Married,Has been married,12,Not college grad,South,Not SMSA,Not central city,Manufacturing,Operatives,Nonunion,5.64,40,225,14,13.83
4586,38,Black,Married,Has been married,17,College grad,Not south,SMSA,Central city,Public administration,Managers/Admin,Nonunion,16.74,50,837,18,10.67
4589,34,Black,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Manufacturing,Operatives,Union,3.76,40,151,10,0.25
4590,41,White,Married,Has been married,12,Not college grad,South,SMSA,Not central city,Finance/Ins/Real estate,Managers/Admin,Nonunion,11.22,58,651,9,2
4591,40,White,Single,Has been married,14,Not college grad,Not south,SMSA,Not central city,Manufacturing,Professional/Technical,Nonunion,9.78,40,391,8,4.25
4592,39,White,Married,Has been married,12,Not college grad,South,Not SMSA,Not central city,Public administration,Sales,Union,10.94,46,503,12,10.08
4597,38,Black,Single,Never married,13,Not college grad,South,SMSA,Not central city,Transport/Comm/Utility,Sales,Union,9.96,38,378,19,18.92
4599,44,White,Married,Has been married,10,Not college grad,Not south,SMSA,Not central city,Professional services,Laborers,Union,4.4,30,132,5,5
4600,41,White,Single,Has been married,11,Not college grad,South,Not SMSA,Not central city,Wholesale/Retail trade,Managers/Admin,Nonunion,4.32,56,242,10,1.67
4601,42,White,Single,Never married,18,College grad,South,SMSA,Central city,Finance/Ins/Real estate,Managers/Admin,Nonunion,28.65,40,1146,15,9.5
4602,36,White,Married,Has been married,18,College grad,Not south,SMSA,Not central city,Professional services,Other,Nonunion,9.19,35,322,12,5.5
4603,41,Black,Married,Has been married,8,Not college grad,South,Not SMSA,Not central city,Personal services,Laborers,,4.18,40,167,11,0.17
4604,38,Black,Married,Has been married,16,College grad,South,Not SMSA,Not central city,Professional services,Laborers,,4.35,24,105,16,10.5
4606,35,Black,Married,Has been married,12,Not college grad,South,SMSA,Central city,Finance/Ins/Real estate,Sales,Union,5.03,40,201,10,0.25
4607,41,Black,Married,Has been married,11,Not college grad,South,Not SMSA,Not central city,Transport/Comm/Utility,Service,Union,8.95,45,403,15,2.08
4611,36,Black,Married,Has been married,12,Not college grad,South,Not SMSA,Not central city,Manufacturing,Sales,Nonunion,5.53,40,221,6,4.25
4613,39,White,Single,Has been married,12,Not college grad,South,Not SMSA,Not central city,Wholesale/Retail trade,Laborers,,2.68,30,81,5,4.92
4614,40,Black,Single,Has been married,12,Not college grad,South,Not SMSA,Not central city,Manufacturing,Operatives,Union,7.56,40,302,15,8.58
4620,40,Black,Married,Has been married,12,Not college grad,Not south,SMSA,Central city,Wholesale/Retail trade,Operatives,Nonunion,5.64,40,225,10,2.83
4621,38,Black,Single,Has been married,12,Not college grad,South,Not SMSA,Not central city,Manufacturing,Operatives,Union,4.73,40,189,14,2.08
4625,40,Black,Single,Never married,12,Not college grad,South,SMSA,Central city,Public administration,Sales,Nonunion,6.27,40,251,18,5.5
4628,42,Black,Married,Has been married,10,Not college grad,Not south,SMSA,Central city,Personal services,Operatives,,3.24,40,130,13,5.25
4629,35,Black,Single,Has been married,16,College grad,South,Not SMSA,Not central city,Professional services,Other,Nonunion,7.94,40,318,13,10.58
4632,42,Black,Married,Has been married,13,Not college grad,South,Not SMSA,Not central city,Professional services,Professional/Technical,Nonunion,4.07,40,163,15,10.83
4634,35,Black,Single,Has been married,15,Not college grad,South,SMSA,Central city,Professional services,Professional/Technical,Nonunion,10.06,40,403,15,15.08
4639,39,Black,Married,Has been married,18,College grad,South,SMSA,Central city,Professional services,Other,Nonunion,7.75,40,310,15,1.42
4642,42,White,Married,Has been married,10,Not college grad,South,Not SMSA,Not central city,Manufacturing,Operatives,Nonunion,4.43,45,199,16,15.67
4647,42,Black,Single,Never married,7,Not college grad,Not south,SMSA,Central city,Manufacturing,Operatives,Union,4.9,40,196,8,3.42
4651,37,Black,Single,Has been married,14,Not college grad,South,SMSA,Central city,Finance/Ins/Real estate,Sales,,3.34,40,134,5,0.67
4652,36,Black,Married,Has been married,11,Not college grad,South,Not SMSA,Not central city,Manufacturing,Operatives,Nonunion,2.8,38,106,4,0.5
4653,36,Black,Married,Has been married,13,Not college grad,South,Not SMSA,Not central city,Professional services,Other,Nonunion,1.93,50,97,10,1.75
4655,36,Black,Married,Has been married,12,Not college grad,South,Not SMSA,Not central city,Manufacturing,Operatives,Nonunion,2.94,48,141,14,12.25
4657,36,Black,Single,Has been married,12,Not college grad,South,Not SMSA,Not central city,Personal services,Laborers,,1.99,40,79,7,5.83
4658,39,Black,Married,Has been married,12,Not college grad,Not south,SMSA,Central city,Manufacturing,Operatives,Union,7.05,40,282,15,9.42
4659,36,Black,Married,Has been married,16,College grad,Not south,SMSA,Not central city,Business/Repair svc,Professional/Technical,,40.2,40,1608,15,1.75
4663,35,Black,Married,Has been married,11,Not college grad,South,SMSA,Not central city,Wholesale/Retail trade,Laborers,,4.18,35,146,12,2.67
4664,40,Black,Married,Has been married,8,Not college grad,South,Not SMSA,Not central city,Personal services,Transport,Nonunion,1.34,12,16,7,1.67
4672,38,Black,Married,Has been married,12,Not college grad,South,Not SMSA,Not central city,Professional services,Other,Nonunion,3.66,38,139,20,19.83
4674,36,Black,Single,Never married,16,College grad,Not south,SMSA,Central city,Wholesale/Retail trade,Managers/Admin,Nonunion,14.49,40,580,10,8.67
4675,35,Black,Married,Has been married,10,Not college grad,South,Not SMSA,Not central city,Personal services,Transport,Nonunion,2.95,21,62,3,1.25
4677,35,White,Married,Has been married,16,College grad,South,Not SMSA,Not central city,Professional services,Other,Nonunion,6.45,48,310,12,11.92
4678,44,White,Married,Has been married,12,Not college grad,South,Not SMSA,Not central city,Professional services,Sales,Nonunion,3.5,32,112,19,9.83
4680,38,Black,Single,Never married,12,Not college grad,Not south,SMSA,Central city,Professional services,Laborers,Union,6.71,36,241,9,5.42
4681,37,Black,Married,Has been married,10,Not college grad,South,SMSA,Not central city,Manufacturing,Craftsmen,Nonunion,7.13,40,285,5,4.33
4682,35,Black,Married,Has been married,14,Not college grad,South,Not SMSA,Not central city,Professional services,Other,Nonunion,4.07,42,171,12,2.5
4683,42,Black,Married,Has been married,12,Not college grad,South,Not SMSA,Not central city,Manufacturing,Managers/Admin,Nonunion,4.39,40,176,19,6.08
4685,35,Black,Married,Has been married,16,College grad,South,SMSA,Central city,Professional services,Sales,Nonunion,6.19,40,248,14,6.42
4686,36,Black,Married,Has been married,12,Not college grad,South,SMSA,Central city,Personal services,Operatives,Nonunion,2.9,34,99,12,7
4687,35,Black,Married,Has been married,12,Not college grad,South,Not SMSA,Not central city,Wholesale/Retail trade,Managers/Admin,Nonunion,5.56,45,250,15,0.42
4688,40,White,Single,Has been married,13,Not college grad,South,Not SMSA,Not central city,Wholesale/Retail trade,Managers/Admin,Nonunion,6,40,240,18,15.17
4696,44,Black,Married,Has been married,10,Not college grad,South,Not SMSA,Not central city,Professional services,Professional/Technical,Nonunion,4.63,40,185,13,13
4699,37,Black,Married,Has been married,17,College grad,South,SMSA,Central city,Professional services,Managers/Admin,Nonunion,14.82,47,697,15,8.33
4704,44,Black,Married,Has been married,12,Not college grad,South,SMSA,Central city,Public administration,Sales,Nonunion,8.9,40,356,18,18.08
4705,39,White,Married,Has been married,16,College grad,South,SMSA,Not central city,Professional services,Other,Nonunion,7.23,9,65,11,2.83
4707,44,Black,Single,Has been married,6,Not college grad,South,Not SMSA,Not central city,Personal services,Transport,,2.79,30,84,12,6.08
4711,38,White,Married,Has been married,17,College grad,South,Not SMSA,Not central city,Professional services,Other,,35.73,45,1608,10,1.83
4713,44,White,Married,Has been married,12,Not college grad,South,Not SMSA,Not central city,Wholesale/Retail trade,Sales,Nonunion,4.36,32,139,17,8.58
4718,37,Black,Single,Has been married,12,Not college grad,South,Not SMSA,Not central city,Professional services,Laborers,Nonunion,1.86,25,46,10,1.17
4721,44,White,Single,Has been married,15,College grad,South,Not SMSA,Not central city,Professional services,Professional/Technical,Nonunion,10.86,40,434,18,17.33
4724,40,White,Married,Has been married,12,Not college grad,South,Not SMSA,Not central city,Public administration,Sales,Nonunion,4.41,40,176,11,1.92
4725,35,Other,Married,Has been married,14,Not college grad,Not south,SMSA,Not central city,Professional services,Sales,Nonunion,5.81,40,233,12,5.75
4726,37,White,Single,Has been married,16,College grad,South,Not SMSA,Not central city,Wholesale/Retail trade,Sales,Nonunion,2.74,25,68,9,0.83
4728,39,White,Married,Has been married,9,Not college grad,South,Not SMSA,Not central city,Wholesale/Retail trade,Laborers,,5.2,9,47,13,11
4729,43,White,Married,Has been married,8,Not college grad,South,Not SMSA,Not central city,Professional services,Laborers,,3.05,25,76,2,0.33
4733,41,White,Married,Has been married,13,Not college grad,South,Not SMSA,Not central city,Professional services,Other,Nonunion,2.94,25,73,12,2.75
4734,39,White,Married,Has been married,12,Not college grad,South,Not SMSA,Not central city,Public administration,Sales,Nonunion,4.62,40,185,14,2.42
4736,35,White,Married,Has been married,12,Not college grad,Not south,Not SMSA,Not central city,Wholesale/Retail trade,Sales,,4.18,30,125,7,1.33
4739,43,White,Married,Has been married,13,Not college grad,Not south,SMSA,Not central city,Finance/Ins/Real estate,Professional/Technical,,38.71,40,1548,18,11.58
4742,40,White,Married,Has been married,10,Not college grad,South,Not SMSA,Not central city,Professional services,Professional/Technical,Nonunion,5.3,40,212,14,9.83
4746,37,White,Single,Has been married,12,Not college grad,South,Not SMSA,Not central city,Professional services,Sales,,4.39,40,176,11,0.25
4749,35,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Professional services,Sales,,5.81,40,232,11,3.5
4750,40,White,Married,Has been married,17,College grad,South,Not SMSA,Not central city,Professional services,Other,Nonunion,2.79,40,111,11,1.17
4751,37,White,Single,Has been married,12,Not college grad,South,Not SMSA,Not central city,Public administration,Sales,Union,11.58,14,162,12,12.33
4757,38,White,Married,Has been married,10,Not college grad,Not south,SMSA,Central city,Wholesale/Retail trade,Clerical/Unskilled,Nonunion,3.14,30,94,3,0.5
4759,39,White,Married,Has been married,18,College grad,South,Not SMSA,Not central city,Professional services,Other,Union,10.1,40,404,18,9.83
4762,39,White,Married,Has been married,18,College grad,South,SMSA,Not central city,Professional services,Other,Nonunion,9.07,40,363,18,17.92
4763,40,White,Married,Has been married,12,Not college grad,South,SMSA,Not central city,Professional services,Professional/Technical,Nonunion,2.57,36,92,12,1.5
4766,39,White,Married,Has been married,16,College grad,South,Not SMSA,Not central city,Professional services,Managers/Admin,Nonunion,11.62,48,558,18,17.92
4767,36,White,Married,Has been married,16,College grad,South,Not SMSA,Not central city,Professional services,Other,Nonunion,6.96,40,279,13,4.83
4769,34,Black,Single,Never married,12,Not college grad,South,SMSA,Not central city,Wholesale/Retail trade,Laborers,Nonunion,3.4,32,109,13,6.33
4771,35,Black,Married,Has been married,13,Not college grad,South,SMSA,Not central city,Professional services,Laborers,Nonunion,5.72,30,171,7,1.33
4772,39,Black,Single,Has been married,18,College grad,South,SMSA,Central city,Professional services,Professional/Technical,Union,10.87,40,435,15,13.08
4780,37,White,Married,Has been married,12,Not college grad,South,SMSA,Not central city,Wholesale/Retail trade,Sales,Nonunion,4.14,35,145,9,2
4784,44,White,Married,Has been married,12,Not college grad,South,SMSA,Not central city,Professional services,Laborers,Nonunion,5.85,18,105,6,6.25
4785,38,White,Married,Has been married,12,Not college grad,South,SMSA,Not central city,Personal services,Sales,Nonunion,4.03,40,161,11,0.33
4788,37,White,Married,Has been married,12,Not college grad,South,SMSA,Not central city,Finance/Ins/Real estate,Clerical/Unskilled,Nonunion,4.42,35,155,10,1.92
4790,36,White,Married,Has been married,11,Not college grad,South,SMSA,Not central city,Professional services,Sales,,5.31,35,186,12,8.42
4798,36,White,Single,Never married,18,College grad,South,SMSA,Central city,Professional services,Professional/Technical,Nonunion,9.05,40,362,12,6.5
4799,44,White,Married,Has been married,12,Not college grad,South,SMSA,Not central city,Finance/Ins/Real estate,Managers/Admin,Nonunion,5.92,50,296,15,1.67
4801,36,White,Married,Has been married,13,Not college grad,South,SMSA,Central city,Finance/Ins/Real estate,Managers/Admin,,38.71,40,1548,14,2.58
4806,40,White,Married,Has been married,12,Not college grad,South,Not SMSA,Not central city,Finance/Ins/Real estate,Sales,Nonunion,7.07,35,247,11,6
4808,40,White,Single,Never married,13,Not college grad,South,Not SMSA,Not central city,Wholesale/Retail trade,Clerical/Unskilled,Nonunion,4.51,42,189,18,8.17
4810,44,White,Married,Has been married,12,Not college grad,South,Not SMSA,Not central city,Wholesale/Retail trade,Sales,,3.34,40,134,9,7.83
4813,37,Black,Married,Has been married,12,Not college grad,South,Not SMSA,Not central city,Manufacturing,Operatives,Nonunion,3.02,40,121,16,5.42
4814,44,Black,Married,Has been married,11,Not college grad,South,Not SMSA,Not central city,Professional services,Professional/Technical,Nonunion,4.19,40,167,16,4.75
4815,36,Black,Married,Has been married,14,Not college grad,South,Not SMSA,Not central city,Manufacturing,Operatives,Nonunion,3.26,40,130,8,0
4816,36,Black,Married,Has been married,12,Not college grad,Not south,SMSA,Central city,Professional services,Sales,Nonunion,4.22,33,139,10,9.67
4817,37,White,Married,Has been married,16,College grad,South,SMSA,Central city,Business/Repair svc,Service,Nonunion,4.03,15,60,5,1.67
4819,37,Black,Single,Never married,18,College grad,South,SMSA,Central city,Professional services,Other,Union,12.83,35,449,15,11.83
4823,44,White,Married,Has been married,12,Not college grad,South,Not SMSA,Not central city,Wholesale/Retail trade,Managers/Admin,Nonunion,6.8,45,306,18,6.5
4824,42,Black,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Finance/Ins/Real estate,Sales,Nonunion,5.37,39,209,13,2.33
4825,44,Black,Single,Has been married,17,College grad,South,SMSA,Central city,Professional services,Other,Nonunion,7.5,55,412,17,15.83
4835,37,Black,Married,Has been married,12,Not college grad,Not south,SMSA,Central city,Manufacturing,Operatives,Union,10.06,40,403,7,7.08
4838,34,Black,Single,Has been married,17,College grad,South,Not SMSA,Not central city,Ag/Forestry/Fisheries,Farm laborers,,2.51,50,125,4,0.42
4841,43,Black,Single,Never married,14,Not college grad,South,Not SMSA,Not central city,Wholesale/Retail trade,Sales,Nonunion,3.53,40,141,16,1.08
4842,37,Black,Single,Has been married,7,Not college grad,South,Not SMSA,Not central city,Manufacturing,Operatives,Union,4.03,40,161,9,9.42
4845,35,Black,Married,Has been married,12,Not college grad,South,SMSA,Central city,Public administration,Sales,Nonunion,5.03,40,201,13,3.5
4846,41,Black,Single,Never married,12,Not college grad,South,SMSA,Central city,,Operatives,Nonunion,3.66,40,147,17,0
4847,39,Black,Married,Has been married,12,Not college grad,South,SMSA,Central city,Manufacturing,Operatives,Nonunion,3.22,40,129,10,0
4848,35,Black,Married,Has been married,11,Not college grad,South,SMSA,Not central city,Manufacturing,Service,,4.16,40,167,9,1.75
4849,36,Black,Married,Has been married,12,Not college grad,South,Not SMSA,Not central city,Manufacturing,Operatives,Nonunion,5.03,40,201,11,5.33
4850,42,Black,Single,Has been married,11,Not college grad,South,Not SMSA,Not central city,Manufacturing,Operatives,,3.62,40,145,17,10.58
4852,35,Black,Single,Has been married,12,Not college grad,South,Not SMSA,Not central city,Manufacturing,Professional/Technical,Nonunion,6.44,40,258,16,12.17
4854,42,Black,Married,Has been married,12,Not college grad,South,Not SMSA,Not central city,Professional services,Craftsmen,Nonunion,3.34,20,67,16,15.83
4856,41,Black,Single,Has been married,12,Not college grad,South,Not SMSA,Not central city,Business/Repair svc,Laborers,,3.21,30,96,16,1.83
4857,43,Black,Single,Never married,12,Not college grad,South,SMSA,Not central city,Finance/Ins/Real estate,Sales,Nonunion,6.6,38,251,19,3.42
4858,39,Black,Married,Has been married,12,Not college grad,South,SMSA,Not central city,Wholesale/Retail trade,Sales,Nonunion,5.75,35,201,18,3.42
4861,35,Black,Married,Has been married,8,Not college grad,South,SMSA,Central city,Personal services,Laborers,Nonunion,8.05,25,201,8,0
4868,44,Black,Single,Never married,12,Not college grad,South,Not SMSA,Not central city,Manufacturing,Operatives,,3.05,40,122,11,1.08
4870,38,Black,Married,Has been married,12,Not college grad,South,Not SMSA,Not central city,Manufacturing,Operatives,Nonunion,4.23,40,169,15,13.42
4871,38,Black,Married,Has been married,12,Not college grad,South,Not SMSA,Not central city,Manufacturing,Operatives,Nonunion,2.9,40,116,15,4.75
4872,35,Black,Married,Has been married,9,Not college grad,South,Not SMSA,Not central city,Manufacturing,Operatives,Nonunion,5.62,40,225,15,3.92
4874,41,Black,Single,Has been married,7,Not college grad,South,Not SMSA,Not central city,Personal services,Transport,Nonunion,2.68,30,80,15,2.25
4876,41,Black,Single,Has been married,12,Not college grad,Not south,SMSA,Central city,Manufacturing,Operatives,Union,7.85,40,314,10,9.58
4880,35,Black,Married,Has been married,12,Not college grad,South,Not SMSA,Not central city,Manufacturing,Operatives,Nonunion,4.51,50,225,12,3.5
4882,44,White,Married,Has been married,12,Not college grad,South,Not SMSA,Not central city,Wholesale/Retail trade,Sales,Nonunion,2.7,40,108,16,1.75
4884,42,White,Married,Has been married,12,Not college grad,South,SMSA,Central city,Wholesale/Retail trade,Sales,Nonunion,3.34,20,67,6,1.25
4885,38,Black,Married,Has been married,12,Not college grad,Not south,SMSA,Central city,Professional services,Sales,Nonunion,4.43,33,146,15,10.58
4890,35,White,Married,Has been married,16,College grad,South,Not SMSA,Not central city,Professional services,Laborers,Nonunion,4.03,6,24,13,1.42
4897,39,Black,Single,Has been married,11,Not college grad,South,Not SMSA,Not central city,Professional services,Laborers,Nonunion,2.98,40,119,20,14.58
4898,35,Black,Married,Has been married,12,Not college grad,South,Not SMSA,Not central city,Professional services,Managers/Admin,Nonunion,5.39,40,216,12,11.25
4900,43,Black,Single,Has been married,18,College grad,South,Not SMSA,Not central city,Wholesale/Retail trade,Sales,Nonunion,2.7,9,24,22,21.75
4903,42,Black,Married,Has been married,12,Not college grad,South,Not SMSA,Not central city,Manufacturing,Operatives,Nonunion,4.03,40,161,11,8.83
4907,37,Black,Married,Has been married,17,College grad,South,SMSA,Central city,Professional services,Sales,Nonunion,3.96,40,158,8,1.92
4909,36,White,Married,Has been married,9,Not college grad,South,SMSA,Central city,Professional services,Laborers,,3.34,46,154,6,0.25
